Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP11,-3.122329497430887,-41.76540379450871,76.0,"[(-3.1223342003309202, -41.76541030719148), (-3.122324794530853, -41.765397281825926)]","[(-3.1223342003309202, -41.76541030719148), (-3.122324794530853, -41.765397281825926)]",96.79202,-96.34725,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip11
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP10,-3.1224329129180486,-41.76540373530859,76.0,"[(-3.1224376158180824, -41.76541024799137), (-3.1224282100180147, -41.76539722262581)]","[(-3.1224376158180824, -41.76541024799137), (-3.1224282100180147, -41.76539722262581)]",85.27993,-96.34067,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip10
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB8,-3.12236838247165,-41.76397916551258,72.0,"[(-3.1223733216173977, -41.76398618776635), (-3.1223634433259027, -41.76397214325881)]","[(-3.1223733216173977, -41.76398618776635), (-3.1223634433259027, -41.76397214325881)]",92.46338,62.00526,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb8
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB7,-3.1224524832319904,-41.763979021069936,72.0,"[(-3.122457422377738, -41.763986043323705), (-3.122447544086243, -41.76397199881617)]","[(-3.122457422377738, -41.763986043323705), (-3.122447544086243, -41.76397199881617)]",83.10138,62.02131,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb7
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB6,-3.1225412354217235,-41.76397886838917,76.0,"[(-3.122546174567471, -41.763985890642935), (-3.122536296275976, -41.763971846135405)]","[(-3.122546174567471, -41.763985890642935), (-3.122536296275976, -41.763971846135405)]",73.22159,62.03828,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb6
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB5,-3.122198590554781,-41.76500301521365,72.0,"[(-3.122203529700529, -41.76501003746741), (-3.1221936514090345, -41.764995992959875)]","[(-3.122203529700529, -41.76501003746741), (-3.1221936514090345, -41.764995992959875)]",111.36442,-51.79922,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb5
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB4,-3.1222856509916546,-41.76500286555352,72.0,"[(-3.1222905901374016, -41.76500988780729), (-3.122280711845907, -41.76499584329975)]","[(-3.1222905901374016, -41.76500988780729), (-3.122280711845907, -41.76499584329975)]",101.67296,-51.78259,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb4
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB3,-3.122366575774537,-41.76500272646571,72.0,"[(-3.1223715149202844, -41.76500974871947), (-3.1223616366287894, -41.76499570421194)]","[(-3.1223715149202844, -41.76500974871947), (-3.1223616366287894, -41.76499570421194)]",92.6645,-51.76713,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb3
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB2,-3.122407821194516,-41.76500265554878,72.0,"[(-3.1224127603402634, -41.765009677802546), (-3.122402882048769, -41.76499563329501)]","[(-3.1224127603402634, -41.765009677802546), (-3.122402882048769, -41.76499563329501)]",88.07311,-51.75925,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb2
ARGO_PARNAIBAIII_V3::BRAVO::BUSCSB1,-3.1224521993454752,-41.76500257934567,72.0,"[(-3.1224571384912228, -41.76500960159944), (-3.1224472601997277, -41.7649955570919)]","[(-3.1224571384912228, -41.76500960159944), (-3.1224472601997277, -41.7649955570919)]",83.13299,-51.75077,1.5610962,1.09964,b_argo_parnaibaiii_v3_buscsb1
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV9,-3.1230371261668486,-41.76452043589982,77.0,"[(-3.123042065312596, -41.76453023309899), (-3.123032187021101, -41.76451063870065)]","[(-3.123042065312596, -41.76453023309899), (-3.123032187021101, -41.76451063870065)]",18.01961,1.84116,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv9
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV8,-3.123105395752156,-41.7645203116592,77.0,"[(-3.1231103348979032, -41.76453010885837), (-3.1231004566064082, -41.76451051446003)]","[(-3.1231103348979032, -41.76453010885837), (-3.1231004566064082, -41.76451051446003)]",10.41992,1.85497,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv8
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV7,-3.123173033217543,-41.76452018856848,77.0,"[(-3.1231779723632904, -41.764529985767645), (-3.1231680940717954, -41.764510391369306)]","[(-3.1231779723632904, -41.764529985767645), (-3.1231680940717954, -41.764510391369306)]",2.89059,1.86865,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv7
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV6,-3.122786962619741,-41.765109767170166,77.0,"[(-3.1227919017654884, -41.765119564369336), (-3.1227820234739934, -41.765099969971)]","[(-3.1227919017654884, -41.765119564369336), (-3.1227820234739934, -41.765099969971)]",45.86753,-63.66508,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv6
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV5,-3.122855050120928,-41.76510964339291,77.0,"[(-3.1228599892666757, -41.76511944059209), (-3.1228501109751807, -41.76509984619374)]","[(-3.1228599892666757, -41.76511944059209), (-3.1228501109751807, -41.76509984619374)]",38.2881,-63.65132,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv5
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV4,-3.122923501756087,-41.76510951879188,77.0,"[(-3.122928440901834, -41.76511931599105), (-3.1229185626103395, -41.76509972159271)]","[(-3.122928440901834, -41.76511931599105), (-3.1229185626103395, -41.76509972159271)]",30.66815,-63.63747,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv4
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV3,-3.123038194601832,-41.76510931009372,77.0,"[(-3.1230431337475797, -41.76511910729289), (-3.1230332554560847, -41.76509951289455)]","[(-3.1230431337475797, -41.76511910729289), (-3.1230332554560847, -41.76509951289455)]",17.90067,-63.61427,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv3
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV2,-3.12310646418714,-41.76510918583594,77.0,"[(-3.123111403332887, -41.76511898303511), (-3.123101525041392, -41.76509938863677)]","[(-3.123111403332887, -41.76511898303511), (-3.123101525041392, -41.76509938863677)]",10.30098,-63.60046,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv2
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV12,-3.1227858942190254,-41.76452089307923,77.0,"[(-3.122790833364773, -41.7645306902784), (-3.122780955073278, -41.76451109588005)]","[(-3.122790833364773, -41.7645306902784), (-3.122780955073278, -41.76451109588005)]",45.98646,1.79034,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv12
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV11,-3.1228539816516765,-41.76452076918186,77.0,"[(-3.1228589207974236, -41.764530566381026), (-3.122849042505929, -41.76451097198269)]","[(-3.1228589207974236, -41.764530566381026), (-3.122849042505929, -41.76451097198269)]",38.40704,1.80411,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv11
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV10,-3.122922433355372,-41.76452064461514,77.0,"[(-3.1229273725011186, -41.76453044181431), (-3.122917494209624, -41.76451084741597)]","[(-3.1229273725011186, -41.76453044181431), (-3.122917494209624, -41.76451084741597)]",30.78708,1.81796,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv10
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECV1,-3.1231741016696604,-41.76510906274521,77.0,"[(-3.123179040815408, -41.76511885994439), (-3.1231691625239133, -41.76509926554604)]","[(-3.123179040815408, -41.76511885994439), (-3.1231691625239133, -41.76509926554604)]",2.77165,-63.58678,2.177986,1.09964,cd_argo_parnaibaiii_v3_secv1
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECH18,-3.122785441603778,-41.7643085155829,77.0,"[(-3.122790204884424, -41.76433823791223), (-3.1227806783231324, -41.76427879325357)]","[(-3.122790204884424, -41.76433823791223), (-3.1227806783231324, -41.76427879325357)]",46.03684,25.39684,6.607482,1.0604858,cd_argo_parnaibaiii_v3_sech18
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECH17,-3.122853104384804,-41.76430839235489,77.0,"[(-3.122857867665449, -41.76433811468422), (-3.1228483411041577, -41.76427867002556)]","[(-3.122857867665449, -41.76433811468422), (-3.1228483411041577, -41.76427867002556)]",38.5047,25.41054,6.607482,1.0604858,cd_argo_parnaibaiii_v3_sech17
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECH16,-3.1229198567966323,-41.764308270980415,77.0,"[(-3.1229246200772782, -41.764337993309745), (-3.1229150935159864, -41.764278548651085)]","[(-3.1229246200772782, -41.764337993309745), (-3.1229150935159864, -41.764278548651085)]",31.0739,25.42403,6.607482,1.0604858,cd_argo_parnaibaiii_v3_sech16
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECH15,-3.123037583783725,-41.76430805665292,77.0,"[(-3.1230423470643704, -41.764337778982245), (-3.123032820503079, -41.764278334323585)]","[(-3.1230423470643704, -41.764337778982245), (-3.123032820503079, -41.764278334323585)]",17.96867,25.44785,6.607482,1.0604858,cd_argo_parnaibaiii_v3_sech15
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::SECH14,-3.1231060640328367,-41.76430793212051,77.0,"[(-3.123110827313482, -41.76433765444984), (-3.123101300752191, -41.76427820979118)]","[(-3.123110827313482, -41.76433765444984), (-3.123101300752191, -41.76427820979118)]",10.34552,25.4617,6.607482,1.0604858,cd_argo_parnaibaiii_v3_sech14
